,name,length,ci_length,target_dimension,nll_source,nll_learned
45,BINL_2_10,10000,8,13,0.9924454327088736,1.8343690395369823
46,BINL_2_10,10000,8,14,0.9924454327088736,1.010934148908555
47,BINL_2_10,10000,8,15,0.9924454327088736,1.0028968721855813
48,BINL_2_10,10000,8,16,0.9924454327088736,1.0040766377311636
49,BINL_2_10,10000,8,17,0.9924454327088736,1.005867197107094
50,BINL_2_10,10000,8,18,0.9924454327088736,2.115799308400882
51,BINL_2_10,10000,8,19,0.9924454327088736,1.7997402170078194
52,BINL_2_10,10000,8,20,0.9924454327088736,1.5030965024437422
53,BINL_2_10,100000,8,2,0.9924454327088736,0.9948306527269527
54,BINL_2_10,100000,8,3,0.9924454327088736,1.129932881411889
55,BINL_2_10,100000,8,4,0.9924454327088736,1.3912039513045356
56,BINL_2_10,100000,8,5,0.9924454327088736,1.3920786225871735
57,BINL_2_10,100000,8,6,0.9924454327088736,1.3796458586605977
58,BINL_2_10,100000,8,7,0.9924454327088736,1.6628337700751705
59,BINL_2_10,100000,8,8,0.9924454327088736,1.7487526208880861
60,BINL_2_10,100000,8,9,0.9924454327088736,1.517899578871878
61,BINL_2_10,100000,8,10,0.9924454327088736,2.7100003398361516
62,BINL_2_10,100000,8,11,0.9924454327088736,2.502898216617104
63,BINL_2_10,100000,8,12,0.9924454327088736,2.1744552613066466
64,BINL_2_10,100000,8,13,0.9924454327088736,2.2592173235471833
65,BINL_2_10,100000,8,14,0.9924454327088736,1.3958539146267641
66,BINL_2_10,100000,8,15,0.9924454327088736,1.736650209906701
67,BINL_2_10,100000,8,16,0.9924454327088736,1.3549971041184925
68,BINL_2_10,100000,8,17,0.9924454327088736,1.8097960849288435
69,BINL_2_10,100000,8,18,0.9924454327088736,1.8705727145192352
70,BINL_2_10,100000,8,19,0.9924454327088736,1.7171651091330216
71,BINL_2_10,100000,8,20,0.9924454327088736,1.6236659442224475
72,BINL_2_10,1000000,8,2,0.9924454327088736,0.9946625531026796
73,BINL_2_10,1000000,8,3,0.9924454327088736,0.994307085996667
74,BINL_2_10,1000000,8,4,0.9924454327088736,0.9937719533606121
75,BINL_2_10,1000000,8,5,0.9924454327088736,0.9927390971832233
76,BINL_2_10,1000000,8,6,0.9924454327088736,0.9926768155467413
77,BINL_2_10,1000000,8,7,0.9924454327088736,0.9925719273828161
78,BINL_2_10,1000000,8,8,0.9924454327088736,0.9928016577509943
79,BINL_2_10,1000000,8,9,0.9924454327088736,0.99309426753797
80,BINL_2_10,1000000,8,10,0.9924454327088736,3.1325355261459666
81,BINL_2_10,1000000,8,11,0.9924454327088736,2.7023415688687416
82,BINL_2_10,1000000,8,12,0.9924454327088736,2.3971974615515235
83,BINL_2_10,1000000,8,13,0.9924454327088736,2.342844813591843
84,BINL_2_10,1000000,8,14,0.9924454327088736,2.428959730740867
85,BINL_2_10,1000000,8,15,0.9924454327088736,2.6306178719209212
86,BINL_2_10,1000000,8,16,0.9924454327088736,2.648361951786882
87,BINL_2_10,1000000,8,17,0.9924454327088736,3.1709093158281956
