,case,name,d0,n0,repetition,nll_source,steps_fsp,fsp_source,seqlength,cwlen,iwlen,rankmax,ranknum,d1,n1,nll_learned,fsp_learned,kl_divergence,mse
28,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,2,2,4,4,3,5,3.638191586102684,"[3.27409436e-21 3.27409436e-21 3.27409436e-21 ... 3.27409436e-21
 3.27409436e-21 3.27409436e-21]",15.420689507856114,0.0014378459217595872
29,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],10000,2,2,4,4,4,5,3.6945232089977535,"[7.41415217e-21 7.41415217e-21 7.41415217e-21 ... 7.41415217e-21
 7.41415217e-21 7.41415217e-21]",11.346306982622103,0.010213168244437866
30,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],31622,2,2,4,5,2,5,6.185712376908748,"[2.52340616e-22 2.52340616e-22 2.52340616e-22 ... 2.52340616e-22
 2.52340616e-22 2.52340616e-22]",20.544796513645604,0.00202550962528908
31,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],31622,2,2,4,5,3,5,8.03887433889842,"[5.11182197e-32 5.11182197e-32 5.11182197e-32 ... 5.11182197e-32
 5.11182197e-32 5.11182197e-32]",35.1836186052188,0.011146631931684612
32,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],31622,2,2,4,5,4,5,4.4008073098957885,"[1.33542142e-21 1.33542142e-21 1.33542142e-21 ... 1.33542142e-21
 1.33542142e-21 1.33542142e-21]",17.69966359520786,0.0539318759179027
33,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],100000,2,2,4,7,2,5,2.819100105918408,"[6.03587962e-21 6.03587962e-21 6.03587962e-21 ... 6.03587962e-21
 6.03587962e-21 6.03587962e-21]",7.75689856683549,0.0009033942212735701
34,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],100000,2,2,4,7,3,5,5.111419739922855,"[2.27078681e-23 2.27078681e-23 2.27078681e-23 ... 2.27078681e-23
 2.27078681e-23 2.27078681e-23]",23.837219955056455,0.009532605318201598
35,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],100000,2,2,4,7,4,5,4.80115305376453,"[2.50728737e-21 2.50728737e-21 2.50728737e-21 ... 2.50728737e-21
 2.50728737e-21 2.50728737e-21]",21.903484279348632,0.02137956659289181
36,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],316227,2,2,4,8,2,5,2.1988112046897483,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.4511967866370824,0.0006978921053168272
37,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],316227,2,2,4,8,3,5,5.0144677457151765,"[3.27274863e-21 3.27274863e-21 3.27274863e-21 ... 3.27274863e-21
 3.27274863e-21 3.27274863e-21]",14.30476581061814,0.0027247929472164127
38,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],316227,2,2,4,8,4,5,5.353707713605215,"[4.88649792e-23 4.88649792e-23 4.88649792e-23 ... 4.88649792e-23
 4.88649792e-23 4.88649792e-23]",22.282356054667975,0.0024042234780006382
39,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000000,2,2,4,8,2,5,2.2927537889173775,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],0.7386826967116623,0.0009520769912404102
40,blended_known,S_5,10,5,0,2.0274781698462387,5,[1.e-20 1.e-20 1.e-20 ... 1.e-20 1.e-20 1.e-20],1000000,2,2,4,8,3,5,6.5541550168673774,"[1.48328812e-33 1.48328812e-33 1.48328812e-33 ... 1.48328812e-33
 1.48328812e-33 1.48328812e-33]",34.76050636532032,0.001628076255297899
