,case,name,d0,n0,repetition,nll_source,steps_fsp,fsp_source,seqlength,cwlen,iwlen,rankmax,d1,n1,nll_learned,fsp_learned,kl_divergence,nll_gmm,l2_gmm
1854,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",10000,2,2,5,4,5,2.1123769876472775,"[1.29944026e-27 3.77095278e-25 1.47601750e-23 ... 2.02353491e-18
 2.99582066e-19 2.10492249e-20]",1.721181881242946,1.6410354627158608,0.0014609178139709522
1855,blended_gmm,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",10000,2,2,5,5,5,3.77473872844865,"[8.25340699e-28 2.53170842e-25 9.95084708e-24 ... 1.28687947e-18
 1.90521056e-19 1.33863840e-20]",8.892377290093592,1.6410354627158608,0.0014609178139709522
1856,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,9,2,5,2.6369792180183236,"[2.63349646e-18 3.66389261e-17 8.78006875e-16 ... 8.05220358e-13
 2.16564708e-13 5.05257835e-14]",0.06474029970141423,,
1857,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,9,3,5,2.1956066245889336,"[2.25127871e-19 3.37057227e-18 9.96903886e-17 ... 5.48773217e-14
 1.00507080e-14 2.81395885e-15]",21.897580862171605,,
1858,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,9,4,5,1.5288433661014793,"[3.13393032e-19 5.21959957e-18 1.67089295e-16 ... 7.00662643e-14
 1.40676364e-14 3.76892255e-15]",20.87787062253334,,
1859,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,9,5,5,2.8679347883953525,"[2.58790947e-18 3.67908051e-17 9.09556762e-16 ... 8.00666684e-13
 2.15143135e-13 5.01962125e-14]",0.07626200376024792,,
1860,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,9,6,5,2.402528309145606,"[1.89839225e-18 2.76413154e-17 7.02149274e-16 ... 7.15856432e-13
 1.92194016e-13 4.48559551e-14]",5.748454387144213,,
1861,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,9,7,5,2.651195098226936,"[2.45758563e-18 3.52496964e-17 8.82089541e-16 ... 7.83199235e-13
 2.10558495e-13 4.91662576e-14]",0.07871625245808189,,
1862,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,9,8,5,4.001833161717456,"[5.24421198e-19 3.91228109e-18 7.81602683e-21 ... 4.19804722e-13
 1.10957580e-13 2.64053949e-14]",10.057709976735394,,
1863,blended_known,S_5,10,5,3,2.3542451639198805,5,"[2.49188757e-21 5.62014242e-20 2.36823760e-18 ... 3.85327937e-14
 9.17303264e-15 2.32108937e-15]",100000,2,2,9,9,5,3.047699652888837,"[5.07316324e-22 5.07316324e-22 5.07316324e-22 ... 1.16509540e-13
 2.88879551e-14 7.15247930e-15]",19.726026529852625,,
