,DVSEED,spectral_gap,geo_mean_var,perc0fs_at_7,H_q3,H_f,H_uniform,_entropy_diff,_uniform_perc,_norm_entropy_diff,_norm_geo_mean_var,_norm_uniform_perc,_norm_spectral_gap,_norm_weighted_sum
38,38,0.39814718135293214,0.01141711473815433,0.0,1.3484927189916558,1.3466628009133736,1.584962500721156,0.0018299180782821445,0.8496496291241236,0.2308256940993438,0.24055902184287942,0.22918753224797772,0.43502474666400004,0.28389924871355027
27,27,0.46242545194906437,0.018671962379399703,0.015089163237311385,1.3689522604847875,1.3678801003640164,1.584962500721156,0.0010721601207710485,0.8630362546379694,0.20501309302710677,0.3997021887662652,0.20582059989704382,0.3233221963923777,0.2834645195206984
160,160,0.20493528083627632,0.003095411986700404,0.0,1.4635939135812064,1.4627529143632643,1.584962500721156,0.0008409992179421177,0.9228943357951456,0.19713872614111605,0.058013199304545196,0.10133573688135955,0.7707877009311002,0.28181884081453024
87,87,0.43736841920783165,0.014263184842696142,0.006858710562414266,1.2299295409901851,1.2320993728362375,1.584962500721156,-0.0021698318460523502,0.7773681536791146,0.09457644965106651,0.3029907408975617,0.3553579659545364,0.36686621886649284,0.27994784384241433
16,16,0.35248395026109025,0.013053884508348995,0.0,1.3299435337776386,1.332463703675752,1.584962500721156,-0.0025201698981134335,0.8406909962030538,0.0826423798222519,0.2764633905676411,0.24482521249883482,0.5143781474213018,0.2795772825775074
150,150,0.5203928498818076,0.015165680998393969,0.0,1.4066719848491167,1.4004777939479605,1.584962500721156,0.006194190901156249,0.8836031094178851,0.3794922072393336,0.32278799970385114,0.1699202675977125,0.2225866582136793,0.27369678318864415
154,154,0.4260112449498672,0.008663468334301403,0.0,1.2145831746285178,1.215111657447916,1.584962500721156,-0.0005284828193981017,0.7666500985954189,0.15048808637539654,0.1801547196484475,0.37406679349402805,0.38660267594177367,0.27282806886491145
49,49,0.4015028876154737,0.007568729629547209,0.0,1.2168640160450643,1.2179468920843157,1.584962500721156,-0.0010828760392513903,0.7684389324858798,0.13160299136665635,0.1561404063170815,0.3709443067655972,0.4291932122432388,0.27197022917314345
102,102,0.4132418770452706,0.009457314666816803,0.0,1.5214654920120307,1.513680770501119,1.584962500721156,0.007784721510911696,0.9550262355181249,0.43367274301047803,0.1975686235171894,0.04524811970276066,0.40879323811887536,0.2713206810873259
60,60,0.3566388666855873,0.0080298470145155,0.0,1.2175759957627725,1.221856602040559,1.584962500721156,-0.004280606277786481,0.7709056848251082,0.022674099012890414,0.16625552996903553,0.3666384841385548,0.5071577484205594,0.26568146538526005
128,128,0.4044716492872329,0.014557792223097953,0.0,1.3922898424039951,1.3928149807868726,1.584962500721156,-0.000525138382877488,0.8787684125984958,0.1506020127352088,0.3094532820610173,0.17835943947109456,0.4240341087575875,0.26561221075622704
132,132,0.48139238374666604,0.015065638221737725,0.0,1.484346348568279,1.4787110975585676,1.584962500721156,0.005635251009711517,0.9329628283860064,0.3604522324054024,0.3205934499224927,0.08376074869608585,0.2903615297009574,0.2637919901812346
40,40,0.4952903860118668,0.022365222633921794,0.0,1.46169021162942,1.460715146069193,1.584962500721156,0.0009750655602269731,0.9216086471475314,0.20170562111900517,0.48071796776559095,0.1035799618820582,0.2662096307418538,0.263053295377127
117,117,0.49945671850782447,0.0076504366624939235,0.0,1.232661779386117,1.2294817067776056,1.584962500721156,0.003180072608511386,0.7757165902778096,0.2768179531435792,0.15793274112906683,0.3582408411221174,0.2589693929326865,0.2629902320818625
