,source_alphabet_size,source_density,source_dimension,source_stationary_state,source_membership_functions,training_length,ci_words_length,target_dimension,nll_source,nll_learned
109,2,1.0,2,True,"get_beta, arg_sum=32",100000,6,2,1.6635633975863453,1.6635633975863453
110,2,1.0,2,True,"get_beta, arg_sum=32",100000,10,2,1.6635633975863453,1.6635633975863453
111,2,1.0,2,True,"get_beta, arg_sum=128",100000,2,2,2.5522580999505906,2.5522580999505906
112,2,1.0,2,True,"get_beta, arg_sum=128",100000,6,2,2.5522580999505906,2.5522580999505906
113,2,1.0,2,True,"get_beta, arg_sum=128",100000,10,2,2.5522580999505906,2.5522580999505906
114,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,2,1.6697583468561024,1.6697583468561024
115,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,4,1.6697583468561024,1.6697583468561024
116,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,6,1.6697583468561024,1.6697583468561024
117,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,8,1.6697583468561024,1.6697583468561024
118,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,10,1.6697583468561024,1.6697583468561024
119,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,12,1.6697583468561024,1.6697583468561024
120,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,14,1.6697583468561024,1.6697583468561024
121,2,1.0,16,True,"get_beta, arg_sum=32",100000,2,16,1.6697583468561024,1.6697583468561024
122,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,2,1.6697583468561024,1.6697583468561024
123,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,4,1.6697583468561024,1.6697583468561024
124,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,6,1.6697583468561024,nan
125,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,8,1.6697583468561024,1.6697583468561024
126,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,10,1.6697583468561024,1.6697583468561024
127,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,12,1.6697583468561024,nan
128,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,14,1.6697583468561024,nan
129,2,1.0,16,True,"get_beta, arg_sum=32",100000,6,16,1.6697583468561024,nan
130,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,2,1.6697583468561024,1.6697583468561024
131,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,4,1.6697583468561024,1.6697583468561024
132,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,6,1.6697583468561024,1.6697583468561024
133,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,8,1.6697583468561024,1.6697583468561024
134,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,10,1.6697583468561024,1.6697583468561024
135,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,12,1.6697583468561024,1.6697583468561024
136,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,14,1.6697583468561024,1.6697583468561024
137,2,1.0,16,True,"get_beta, arg_sum=32",100000,10,16,1.6697583468561024,1.6697583468561024
138,2,1.0,16,True,"get_beta, arg_sum=128",100000,2,2,2.547333772537634,2.547333772537634
