,case,name,d0,n0,repetition,nll_source,steps_fsp,seqlength,cwlen,iwlen,rankmax,ranknum,d1,n1,nll_learned,kl_divergence,mse,nll_gmm,l2_gmm,nll_diff
404,blended_gmm,S_5,10,5,0,2.748915577263517,5,1000,3,3,27,1,3,3,2.8936038920922527,0.4222386303749371,4.606322176256564e-05,1.90575805472518,0.0051502371875753,0.14468831482873545
405,blended_gmm,S_5,10,5,0,2.748915577263517,5,1000,3,3,27,1,4,3,2.957247926891092,0.4294797792338855,4.844864232397012e-05,1.90575805472518,0.0051502371875753,0.20833234962757485
406,blended_gmm,S_5,10,5,0,2.748915577263517,5,1000,3,3,27,1,5,3,2.8973366972196595,0.4235619757749272,4.588000506718832e-05,1.90575805472518,0.0051502371875753,0.14842111995614227
407,blended_gmm,S_5,10,5,0,2.748915577263517,5,1000,3,3,27,1,6,3,3.779196553956732,13.335672138113573,0.0001071660619348,1.90575805472518,0.0051502371875753,1.0302809766932146
408,blended_gmm,S_5,10,5,0,2.748915577263517,5,1000,3,3,27,1,7,3,3.6993514087026815,28.40434602606068,0.0001364478349835,1.90575805472518,0.0051502371875753,0.9504358314391643
409,blended_gmm,S_5,10,5,0,2.748915577263517,5,1000,3,3,27,1,8,3,7.763110333211481,18.40107160743861,0.0001731598291975,1.90575805472518,0.0051502371875753,5.014194755947964
410,blended_gmm,S_5,10,5,0,2.748915577263517,5,1000,3,3,27,1,9,3,4.030344869666823,3.915873087491399,0.0001138659880208,1.90575805472518,0.0051502371875753,1.2814292924033062
411,blended_gmm,S_5,10,5,0,2.748915577263517,5,1000,3,3,27,1,10,3,3.980519737837379,0.6040756082165785,6.462618278800029e-05,1.90575805472518,0.0051502371875753,1.2316041605738617
412,blended_gmm,S_5,10,5,0,2.748915577263517,5,1000,3,3,27,1,11,3,7.448699173983057,20.32983999683072,0.0001873594192279,1.90575805472518,0.0051502371875753,4.69978359671954
413,blended_gmm,S_5,10,5,0,2.748915577263517,5,1000,3,3,27,1,12,3,7.548739215902295,20.73137266565636,0.0001809665038006,1.90575805472518,0.0051502371875753,4.799823638638777
414,blended_gmm,S_5,10,5,0,2.748915577263517,5,1000,3,3,27,1,13,3,7.520556180403668,30.34787487552353,0.000364831591855,1.90575805472518,0.0051502371875753,4.771640603140151
415,blended_gmm,S_5,10,5,0,2.748915577263517,5,1000,3,3,27,1,14,3,3.6730909870073662,6.304474403658955,3.004378065699337e-05,1.90575805472518,0.0051502371875753,0.924175409743849
416,blended_known,S_5,10,5,0,2.748915577263517,5,3162,2,2,25,1,2,5,3.260057341342445,3.0825828713420176,0.000182052328163,,,0.511141764078928
417,blended_known,S_5,10,5,0,2.748915577263517,5,3162,2,2,25,1,3,5,3.395806029614938,21.58335439945464,0.0005555282623523,,,0.6468904523514207
418,blended_known,S_5,10,5,0,2.748915577263517,5,3162,2,2,25,1,4,5,3.476531103013352,20.08263405954732,0.000454324411703,,,0.7276155257498349
419,blended_known,S_5,10,5,0,2.748915577263517,5,3162,2,2,25,1,5,5,3.5987166232030043,19.1822951907756,0.0001884817770769,,,0.8498010459394871
420,blended_known,S_5,10,5,0,2.748915577263517,5,3162,2,2,25,1,6,5,4.171357185981145,17.581654794756727,0.0002653914077234,,,1.4224416087176275
421,blended_known,S_5,10,5,0,2.748915577263517,5,3162,2,2,25,1,7,5,3.5275328177507577,17.74844547073755,0.0003769490423778,,,0.7786172404872405
422,blended_known,S_5,10,5,0,2.748915577263517,5,3162,2,2,25,1,8,5,3.120536026519103,7.298399856266265,8.963330713662473e-05,,,0.3716204492555857
423,blended_known,S_5,10,5,0,2.748915577263517,5,3162,2,2,25,1,9,5,3.633771210921717,9.314935248706938,6.798902072341694e-05,,,0.8848556336581996
424,blended_known,S_5,10,5,0,2.748915577263517,5,3162,2,2,25,1,10,5,3.550489859357039,1.913490706878022,2.9133482905096828e-05,,,0.8015742820935219
425,blended_known,S_5,10,5,0,2.748915577263517,5,3162,2,2,25,1,11,5,3.645987957639773,2.1424560731117333,3.032762177206755e-05,,,0.8970723803762559
426,blended_known,S_5,10,5,0,2.748915577263517,5,3162,2,2,25,1,12,5,3.4401633305138564,3.853153696277236,4.751232238000532e-05,,,0.6912477532503392
427,blended_known,S_5,10,5,0,2.748915577263517,5,3162,2,2,25,1,13,5,3.9775918741201104,16.177403167706824,0.0001586752625864,,,1.2286762968565932
428,blended_known,S_5,10,5,0,2.748915577263517,5,3162,2,2,25,1,14,5,3.456334159268189,4.072837468403141,4.684488234850725e-05,,,0.7074185820046717
429,blended_gmm,S_5,10,5,0,2.748915577263517,5,3162,2,2,24,5,2,5,8.48203184938276,22.42346135115081,0.0451048612538798,1.9034474658928269,0.001969966336042,5.7331162721192435
430,blended_gmm,S_5,10,5,0,2.748915577263517,5,3162,2,2,24,5,3,5,9.64475830568756,32.963702283464514,0.0121015875653217,1.9034474658928269,0.001969966336042,6.895842728424043
431,blended_gmm,S_5,10,5,0,2.748915577263517,5,3162,2,2,24,5,4,5,9.507157137011966,26.797832449123963,0.0015561661082997,1.9034474658928269,0.001969966336042,6.758241559748448
432,blended_gmm,S_5,10,5,0,2.748915577263517,5,3162,2,2,24,5,5,5,9.907879611853836,29.313032518853667,0.0017448324234542,1.9034474658928269,0.001969966336042,7.158964034590319
433,blended_gmm,S_5,10,5,0,2.748915577263517,5,3162,2,2,24,5,6,5,5.382385729553787,20.27353567298156,0.0007192853342373,1.9034474658928269,0.001969966336042,2.63347015229027
434,blended_gmm,S_5,10,5,0,2.748915577263517,5,3162,2,2,24,5,7,5,3.95433553455038,22.79469681867208,0.0010566250492649,1.9034474658928269,0.001969966336042,1.2054199572868627
435,blended_gmm,S_5,10,5,0,2.748915577263517,5,3162,2,2,24,5,8,5,5.58195928565988,23.196923604428463,0.001071729368447,1.9034474658928269,0.001969966336042,2.833043708396363
436,blended_gmm,S_5,10,5,0,2.748915577263517,5,3162,2,2,24,5,9,5,5.567695894236661,21.138266681788966,0.0033895330072667,1.9034474658928269,0.001969966336042,2.818780316973144
437,blended_gmm,S_5,10,5,0,2.748915577263517,5,3162,2,2,24,5,10,5,4.837892431480577,13.323199391585575,0.0144924097969932,1.9034474658928269,0.001969966336042,2.0889768542170595
438,blended_gmm,S_5,10,5,0,2.748915577263517,5,3162,2,2,24,5,11,5,4.856328619300447,13.19558667316557,0.0144244550165174,1.9034474658928269,0.001969966336042,2.1074130420369297
439,blended_gmm,S_5,10,5,0,2.748915577263517,5,3162,2,2,24,5,12,5,5.0212674272806455,13.143295254611497,0.0106665434332854,1.9034474658928269,0.001969966336042,2.2723518500171282
440,blended_gmm,S_5,10,5,0,2.748915577263517,5,3162,2,2,24,5,13,5,5.848958700022784,23.0644050750496,0.0047432942257561,1.9034474658928269,0.001969966336042,3.100043122759267
441,blended_gmm,S_5,10,5,0,2.748915577263517,5,3162,2,2,24,5,14,5,5.897103784123448,20.913694363460536,0.0036212406659283,1.9034474658928269,0.001969966336042,3.148188206859931
442,blended_known,S_5,10,5,0,2.748915577263517,5,10000,2,2,25,1,2,5,3.988492427851386,30.56948655332583,0.0002719591660084,,,1.2395768505878686
443,blended_known,S_5,10,5,0,2.748915577263517,5,10000,2,2,25,1,3,5,3.204019698913513,12.242433643907717,0.0006960320414446,,,0.4551041216499958
444,blended_known,S_5,10,5,0,2.748915577263517,5,10000,2,2,25,1,4,5,3.155674025950522,14.974545139955174,0.0007130865787395,,,0.40675844868700484
445,blended_known,S_5,10,5,0,2.748915577263517,5,10000,2,2,25,1,5,5,3.133617772618507,11.651974730084788,0.0001270606517918,,,0.38470219535498984
446,blended_known,S_5,10,5,0,2.748915577263517,5,10000,2,2,25,1,6,5,3.3331706129053766,19.03393836861399,0.0003011966600633,,,0.5842550356418594
447,blended_known,S_5,10,5,0,2.748915577263517,5,10000,2,2,25,1,7,5,3.308166190001125,15.884084658011208,0.0001838073016249,,,0.5592506127376078
448,blended_known,S_5,10,5,0,2.748915577263517,5,10000,2,2,25,1,8,5,3.948001217265796,16.742263770530354,0.0001994280186716,,,1.199085640002279
449,blended_known,S_5,10,5,0,2.748915577263517,5,10000,2,2,25,1,9,5,4.719711995487329,15.071344386600016,0.0003244292182708,,,1.970796418223812
450,blended_known,S_5,10,5,0,2.748915577263517,5,10000,2,2,25,1,10,5,3.81899472476661,8.358261904683408,6.060884349071123e-05,,,1.0700791475030926
451,blended_known,S_5,10,5,0,2.748915577263517,5,10000,2,2,25,1,11,5,4.041353237970114,18.620565556103944,0.0001807214011663,,,1.2924376607065966
452,blended_known,S_5,10,5,0,2.748915577263517,5,10000,2,2,25,1,12,5,4.265293209552004,10.018879846149604,0.0001020376030786,,,1.5163776322884868
