,source_alphabet_size,source_density,source_dimension,source_stationary_state,source_membership_functions,training_length,ci_words_length,target_dimension,nll_source,nll_learned
82,2,0.5,2,True,"get_beta, arg_sum=128",100000,6,2,-0.9633865128314102,-0.9631394168540589
83,2,0.5,2,True,"get_beta, arg_sum=128",100000,10,2,-0.9633865128314102,-0.9695095512397869
84,2,0.5,8,True,"get_beta, arg_sum=32",100000,2,2,-0.9975700728176362,-1.0014317082664075
85,2,0.5,8,True,"get_beta, arg_sum=32",100000,2,4,-0.9975700728176362,-1.0012955566141042
86,2,0.5,8,True,"get_beta, arg_sum=32",100000,2,6,-0.9975700728176362,-1.0012955566141057
87,2,0.5,8,True,"get_beta, arg_sum=32",100000,2,8,-0.9975700728176362,-1.0012955566141049
88,2,0.5,8,True,"get_beta, arg_sum=32",100000,6,2,-0.9975700728176362,-1.0012071136771703
89,2,0.5,8,True,"get_beta, arg_sum=32",100000,6,4,-0.9975700728176362,-1.0012110500563736
90,2,0.5,8,True,"get_beta, arg_sum=32",100000,6,6,-0.9975700728176362,nan
91,2,0.5,8,True,"get_beta, arg_sum=32",100000,6,8,-0.9975700728176362,nan
92,2,0.5,8,True,"get_beta, arg_sum=32",100000,10,2,-0.9975700728176362,-1.0023035477410505
93,2,0.5,8,True,"get_beta, arg_sum=32",100000,10,4,-0.9975700728176362,-1.0021417195389735
94,2,0.5,8,True,"get_beta, arg_sum=32",100000,10,6,-0.9975700728176362,nan
95,2,0.5,8,True,"get_beta, arg_sum=32",100000,10,8,-0.9975700728176362,nan
96,2,0.5,8,True,"get_beta, arg_sum=128",100000,2,2,-0.999301691979424,-0.999542203024882
97,2,0.5,8,True,"get_beta, arg_sum=128",100000,2,4,-0.999301691979424,-3.5267583324064877
98,2,0.5,8,True,"get_beta, arg_sum=128",100000,2,6,-0.999301691979424,-3.5267583323949427
99,2,0.5,8,True,"get_beta, arg_sum=128",100000,2,8,-0.999301691979424,-3.5267583323776317
100,2,0.5,8,True,"get_beta, arg_sum=128",100000,6,2,-0.999301691979424,-0.9994611621821323
101,2,0.5,8,True,"get_beta, arg_sum=128",100000,6,4,-0.999301691979424,-0.9994327635820327
102,2,0.5,8,True,"get_beta, arg_sum=128",100000,6,6,-0.999301691979424,-2.441222435949319
103,2,0.5,8,True,"get_beta, arg_sum=128",100000,6,8,-0.999301691979424,-2.39376507422248
104,2,0.5,8,True,"get_beta, arg_sum=128",100000,10,2,-0.999301691979424,-0.9998784176791231
105,2,0.5,8,True,"get_beta, arg_sum=128",100000,10,4,-0.999301691979424,-0.999883231517815
106,2,0.5,8,True,"get_beta, arg_sum=128",100000,10,6,-0.999301691979424,nan
107,2,0.5,8,True,"get_beta, arg_sum=128",100000,10,8,-0.999301691979424,-1.0357939296439824
108,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,2,-0.9978925831589232,-0.9978352439613968
109,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,4,-0.9978925831589232,nan
110,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,6,-0.9978925831589232,nan
111,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,8,-0.9978925831589232,nan
112,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,10,-0.9978925831589232,nan
113,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,12,-0.9978925831589232,nan
114,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,14,-0.9978925831589232,nan
115,2,0.5,16,True,"get_beta, arg_sum=32",100000,2,16,-0.9978925831589232,nan
116,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,2,-0.9978925831589232,-0.9979657276948706
117,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,4,-0.9978925831589232,-3.431406882168465
118,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,6,-0.9978925831589232,-0.9978822586008981
119,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,8,-0.9978925831589232,-2.2536113353510063
120,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,10,-0.9978925831589232,nan
121,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,12,-0.9978925831589232,nan
122,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,14,-0.9978925831589232,-2.382020487403972
123,2,0.5,16,True,"get_beta, arg_sum=32",100000,6,16,-0.9978925831589232,nan
124,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,2,-0.9978925831589232,-0.999291175858802
125,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,4,-0.9978925831589232,-0.999321037323524
126,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,6,-0.9978925831589232,-0.9992923192842347
127,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,8,-0.9978925831589232,nan
128,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,10,-0.9978925831589232,nan
129,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,12,-0.9978925831589232,nan
130,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,14,-0.9978925831589232,-1.194419854253557
131,2,0.5,16,True,"get_beta, arg_sum=32",100000,10,16,-0.9978925831589232,nan
132,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,2,-0.9993910246583374,-0.9997112068357704
133,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,4,-0.9993910246583374,-4.183744466745298
134,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,6,-0.9993910246583374,-4.183744466753834
135,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,8,-0.9993910246583374,-4.18374446674948
136,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,10,-0.9993910246583374,-4.183744466747255
137,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,12,-0.9993910246583374,-4.18374446674167
138,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,14,-0.9993910246583374,-4.183744466759942
139,2,0.5,16,True,"get_beta, arg_sum=128",100000,2,16,-0.9993910246583374,-4.183744466749871
140,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,2,-0.9993910246583374,-0.9997004612095429
141,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,4,-0.9993910246583374,-1.509207211965828
142,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,6,-0.9993910246583374,-1.031473204503917
143,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,8,-0.9993910246583374,-1.204041362752078
144,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,10,-0.9993910246583374,-1.469307408394051
145,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,12,-0.9993910246583374,-1.7335335894535613
146,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,14,-0.9993910246583374,nan
147,2,0.5,16,True,"get_beta, arg_sum=128",100000,6,16,-0.9993910246583374,nan
148,2,0.5,16,True,"get_beta, arg_sum=128",100000,10,2,-0.9993910246583374,-1.0005239937446135
