,source_alphabet_size,source_density,source_dimension,source_stationary_state,training_length,ci_words_length,target_dimension,nll_source,nll_learned
175,4,0.1,16,True,100000,6,8,-1.8985165548669167,-3.520663047189372
176,4,0.1,16,True,100000,6,10,-1.8985165548669167,-3.589500174108918
177,4,0.1,16,True,100000,6,12,-1.8985165548669167,nan
178,4,0.1,16,True,100000,6,14,-1.8985165548669167,-2.072071665008599
179,4,0.1,16,True,100000,6,16,-1.8985165548669167,-2.050347543590879
180,4,0.5,2,True,100000,2,2,-1.8610382142508424,-1.8599093338810537
181,4,0.5,2,True,100000,4,2,-1.8610382142508424,-1.852676723273628
182,4,0.5,2,True,100000,6,2,-1.8610382142508424,-1.8726505963203945
183,4,0.5,4,True,100000,2,2,-1.9674708700284924,-1.968776455502507
184,4,0.5,4,True,100000,2,4,-1.9674708700284924,-1.9678886502091748
185,4,0.5,4,True,100000,4,2,-1.9674708700284924,-1.9706752713711382
186,4,0.5,4,True,100000,4,4,-1.9674708700284924,-1.9693636657710993
187,4,0.5,4,True,100000,6,2,-1.9674708700284924,-1.9899387303149696
188,4,0.5,4,True,100000,6,4,-1.9674708700284924,-1.9899514678179702
189,4,0.5,8,True,100000,2,2,-1.9896353847636856,-1.990583811594786
190,4,0.5,8,True,100000,2,4,-1.9896353847636856,-1.989519521845301
191,4,0.5,8,True,100000,2,6,-1.9896353847636856,-2.0374610111118407
192,4,0.5,8,True,100000,2,8,-1.9896353847636856,-3.9635971245318973
193,4,0.5,8,True,100000,4,2,-1.9896353847636856,-1.9909561461946916
194,4,0.5,8,True,100000,4,4,-1.9896353847636856,-2.870208725411164
195,4,0.5,8,True,100000,4,6,-1.9896353847636856,-3.058673982218096
196,4,0.5,8,True,100000,4,8,-1.9896353847636856,-2.937339449341212
197,4,0.5,8,True,100000,6,2,-1.9896353847636856,-2.0082253249110495
198,4,0.5,8,True,100000,6,4,-1.9896353847636856,-2.0080570791345846
199,4,0.5,8,True,100000,6,6,-1.9896353847636856,-2.007977411050194
200,4,0.5,8,True,100000,6,8,-1.9896353847636856,-2.007918371686501
201,4,0.5,16,True,100000,2,2,-1.9978533463654091,-2.5386998161801877
202,4,0.5,16,True,100000,2,4,-1.9978533463654091,-2.815242205841182
203,4,0.5,16,True,100000,2,6,-1.9978533463654091,-3.292404513176997
204,4,0.5,16,True,100000,2,8,-1.9978533463654091,-3.336599031908036
205,4,0.5,16,True,100000,2,10,-1.9978533463654091,-4.091936249684708
