,source_alphabet_size,source_density,source_dimension,source_stationary_state,training_length,ci_words_length,nll_source,nll_learned
76,2,0.5,16,True,[100000],4,-0.9980389543989061,-2.933062215150766
77,2,0.5,16,True,[100000],4,-0.9980389543989061,nan
78,2,0.5,16,True,[100000],4,-0.9980389543989061,-2.3310107975727266
79,2,0.5,16,True,[100000],4,-0.9980389543989061,nan
80,2,0.5,16,True,[100000],4,-0.9980389543989061,nan
81,2,0.5,16,True,[100000],4,-0.9980389543989061,nan
82,2,0.5,16,True,[100000],6,-0.9980389543989061,-0.9981129229725212
83,2,0.5,16,True,[100000],6,-0.9980389543989061,-1.000154798126263
84,2,0.5,16,True,[100000],6,-0.9980389543989061,nan
85,2,0.5,16,True,[100000],6,-0.9980389543989061,nan
86,2,0.5,16,True,[100000],6,-0.9980389543989061,nan
87,2,0.5,16,True,[100000],6,-0.9980389543989061,-1.5550938462189636
88,2,0.5,16,True,[100000],6,-0.9980389543989061,-2.290108103419559
89,2,0.5,16,True,[100000],6,-0.9980389543989061,nan
90,2,1.0,2,True,[100000],2,-0.9737261508933728,-0.9737423088056716
91,2,1.0,2,True,[100000],4,-0.9737261508933728,-0.973367576896504
92,2,1.0,2,True,[100000],6,-0.9737261508933728,-0.9737349173049556
93,2,1.0,4,True,[100000],2,-0.9992342357968579,-0.9992879576646329
94,2,1.0,4,True,[100000],2,-0.9992342357968579,-0.9991636925188074
95,2,1.0,4,True,[100000],4,-0.9992342357968579,-0.9992870593192243
96,2,1.0,4,True,[100000],4,-0.9992342357968579,-1.0024853202895416
97,2,1.0,4,True,[100000],6,-0.9992342357968579,-0.9993368032178318
98,2,1.0,4,True,[100000],6,-0.9992342357968579,-0.9992510139399082
99,2,1.0,8,True,[100000],2,-0.9977856971240658,-0.9978426185690247
100,2,1.0,8,True,[100000],2,-0.9977856971240658,-3.32716005336124
101,2,1.0,8,True,[100000],2,-0.9977856971240658,-3.3271600533431567
